timestamp,username,customer_id
2025-07-19 17:59:54,admin,C00001
2025-07-19 17:59:54,admin,C00001
2025-07-19 17:59:56,admin,C00001
2025-07-19 17:59:56,admin,C00001
2025-07-19 18:00:35,admin,C00003
2025-07-19 18:00:40,admin,C00002
2025-07-19 18:00:45,admin,C00001
2025-07-19 18:00:46,admin,C00001
2025-07-19 18:01:19,admin,C00001
2025-07-19 18:01:20,admin,C00001
2025-07-19 18:01:21,admin,C00001
2025-07-19 18:01:21,admin,C00001
2025-07-19 21:07:26,admin,C00002
2025-07-19 21:07:28,admin,C00001
2025-07-19 21:07:29,admin,C00002
2025-07-19 21:07:31,admin,C00016
2025-07-19 21:07:35,admin,C00016
2025-07-19 21:07:39,admin,C00001
2025-07-19 21:07:40,admin,C00001
2025-07-19 21:08:05,admin,C00001
2025-07-19 21:08:05,admin,C00001
